release,className,loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
3.0.1,src/java/main/org/apache/jute/compiler/JFloat.java,12,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.0.1,src/java/main/org/apache/jute/compiler/JInt.java,9,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.0.1,src/java/main/org/apache/jute/compiler/JLong.java,12,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.0.1,src/java/main/org/apache/jute/compiler/JString.java,19,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,3,0,no
3.0.1,src/java/main/org/apache/zookeeper/AsyncCallback.java,27,17,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.0.1,src/java/main/org/apache/zookeeper/ClientWatchManager.java,5,31,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,4,1,0,no
3.0.1,src/java/main/org/apache/zookeeper/server/RequestProcessor.java,5,29,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.0.1,src/java/main/org/apache/zookeeper/server/SessionTracker.java,14,34,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,2,0,no
3.0.1,src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java,9,65,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,9,1,0,no
3.0.1,src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java,40,18,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,8,4,0,no
3.0.1,src/java/main/org/apache/zookeeper/server/persistence/SnapShot.java,13,41,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,4,1,0,no
3.0.1,src/java/main/org/apache/zookeeper/server/persistence/TxnLog.java,19,81,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,6,2,0,no
3.0.1,src/java/main/org/apache/zookeeper/server/quorum/AckRequestProcessor.java,14,25,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,2,0,no
3.0.1,src/java/main/org/apache/zookeeper/server/quorum/Election.java,5,17,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.0.1,src/java/main/org/apache/zookeeper/server/quorum/FollowerSyncRequest.java,13,17,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.0.1,src/java/main/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,32,32,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,6,4,0,no
3.1.0,src/contrib/bookkeeper/benchmark/org/apache/bookkeeper/benchmark/MySqlClient.java,87,34,1,1,0,137,137,137.0,137,137,137.0,137,28,28,28.0,2.0,2.0,0,0,5,3,0,no
3.1.0,src/contrib/bookkeeper/benchmark/org/apache/bookkeeper/benchmark/TestClient.java,192,51,1,1,0,269,269,269.0,269,269,269.0,269,28,28,28.0,2.0,2.0,0,0,19,4,0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/Bookie.java,274,33,1,1,0,343,343,343.0,343,343,343.0,343,28,28,28.0,2.0,2.0,0,0,32,7,0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,91,49,1,1,0,154,154,154.0,154,154,154.0,154,28,28,28.0,2.0,2.0,0,0,8,3,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/AddCallback.java,4,31,1,1,0,37,37,37.0,37,37,37.0,37,28,28,28.0,2.0,2.0,0,0,3,1,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/BKException.java,88,24,1,1,0,130,130,130.0,130,130,130.0,130,28,28,28.0,2.0,2.0,0,0,14,3,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/BookKeeper.java,368,237,1,1,0,701,701,701.0,701,701,701.0,701,28,28,28.0,2.0,2.0,0,0,43,5,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/BookieHandle.java,133,85,1,1,0,250,250,250.0,250,250,250.0,250,28,28,28.0,2.0,2.0,0,0,12,7,0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ClientCBWorker.java,70,26,1,1,0,112,112,112.0,112,112,112.0,112,28,28,28.0,2.0,2.0,0,0,10,7,0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ErrorCodes.java,5,20,1,1,0,29,29,29.0,29,29,29.0,29,28,28,28.0,2.0,2.0,0,0,2,1,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerEntry.java,26,26,1,1,0,63,63,63.0,63,63,63.0,63,28,28,28.0,2.0,2.0,0,0,3,2,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerHandle.java,192,98,1,1,0,349,349,349.0,349,349,349.0,349,28,28,28.0,2.0,2.0,0,0,12,5,0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerRecoveryMonitor.java,133,46,1,1,0,213,213,213.0,213,213,213.0,213,28,28,28.0,2.0,2.0,0,0,21,6,0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerSequence.java,29,25,1,1,0,65,65,65.0,65,65,65.0,65,28,28,28.0,2.0,2.0,0,0,3,2,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerStream.java,50,41,1,1,0,104,104,104.0,104,104,104.0,104,28,28,28.0,2.0,2.0,0,0,9,7,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/QuorumEngine.java,181,39,1,1,0,265,265,265.0,265,265,265.0,265,28,28,28.0,2.0,2.0,0,0,8,6,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/QuorumOpMonitor.java,265,153,1,1,0,496,496,496.0,496,496,496.0,496,28,28,28.0,2.0,2.0,0,0,55,10,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ReadCallback.java,4,31,1,1,0,38,38,38.0,38,38,38.0,38,28,28,28.0,2.0,2.0,0,0,2,1,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/BookieClient.java,226,74,1,1,0,342,342,342.0,342,342,342.0,342,28,28,28.0,2.0,2.0,0,0,19,7,0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/BookieProtocol.java,10,57,1,1,0,70,70,70.0,70,70,70.0,70,28,28,28.0,2.0,2.0,0,0,3,1,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/BookieServer.java,136,31,1,1,0,179,179,179.0,179,179,179.0,179,28,28,28.0,2.0,2.0,0,0,17,5,0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/NIOServerFactory.java,366,106,1,1,0,532,532,532.0,532,532,532.0,532,28,28,28.0,2.0,2.0,0,0,47,8,0,yes
