Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
DatasetClassiRealeseNormalizedShuffled,1,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02604271136E7,4329.0,482.0,457.0,25.0,0.0,94.81327800829875,5.186721991701245,0.0,0.7702223408718202,0.09283380245813021,0.20618079267098116,40.282539088700894,60.75989692819462,272.3366817903761,97.18024559189521,175.15643619848086,0.565013862635635,0.20161876678816434,0.36339509584747065,143.81412169572192,0.29836954708656,52.80747373077675,0.78125,50.0,0.02631578947368421,11.0,0.9736842105263158,407.0,0.21875,14.0,0.819672131147541,0.78125,0.8,0.7705153033072856,0.9742822966507177,0.8467579919069097,0.9481327800829875,0.19319856955667178,0.8068014304433283,0.05186721991701245,0.9472173835347539,0.9481327800829875,0.9476031038729174,0.7705153033072856,0.9742822966507177,0.9762417949985553,0.8851013110846246,0.9481327800829875,13.939,0.01,13.77,0.01,13770.0,10.0,1.2057904E7,1043119.0,162156.0,99.79253112033194,64.6265560165975,?,?
DatasetClassiRealeseNormalizedShuffled,1,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02604271136E7,4330.0,481.0,455.0,26.0,0.0,94.5945945945946,5.405405405405405,0.0,0.7525426411808935,0.0941579551404253,0.20740430473095084,41.06661793747439,61.47450553357142,269.42867131105754,99.00975164459332,170.4189196664642,0.5601427677984564,0.20584147951058904,0.3543012882878674,141.39990648224662,0.29397069954729027,52.481388040176064,0.746031746031746,47.0,0.023923444976076555,10.0,0.9760765550239234,408.0,0.25396825396825395,16.0,0.8245614035087719,0.746031746031746,0.7833333333333334,0.7537726874546731,0.9767980557454242,0.8451486401715989,0.9459459459459459,0.22383764489027647,0.7761623551097234,0.05405405405405406,0.9442282401567408,0.9459459459459459,0.9447871862361175,0.7537726874546731,0.9767980557454242,0.976753157428293,0.8762272367379256,0.9459459459459459,13.839,0.003,13.66,0.0,13660.0,0.0,1.3986709E7,1043348.0,161927.0,99.79209979209979,65.8004158004158,?,?
DatasetClassiRealeseNormalizedShuffled,1,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02604271136E7,4330.0,481.0,455.0,26.0,0.0,94.5945945945946,5.405405405405405,0.0,0.7656999400479616,0.0875522419669428,0.19330162639136952,37.96109380588768,56.914451396188035,272.1308087156738,86.4093511660824,185.72145754959143,0.565760517080403,0.17964522071950603,0.386115296360897,152.11088757192326,0.31623885150087994,55.896239124784614,0.796875,51.0,0.03117505995203837,13.0,0.9688249400479616,404.0,0.203125,13.0,0.796875,0.796875,0.796875,0.7656999400479616,0.9804781175059952,0.9035438375332214,0.9459459459459459,0.1802460058979843,0.8197539941020157,0.05405405405405406,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.7656999400479616,0.9804781175059951,0.9845224101260033,0.8828499700239808,0.9459459459459459,13.857,0.005,13.64,0.01,13640.0,10.0,1.2146774E7,1043348.0,161927.0,100.0,64.55301455301455,?,?
DatasetClassiRealeseNormalizedShuffled,1,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02604271137E7,4330.0,481.0,447.0,34.0,0.0,92.93139293139293,7.0686070686070686,0.0,0.6895006645149041,0.09847807949506145,0.2257644943264001,42.69834249301324,66.47260335673285,272.1308087156738,115.07788096048321,157.0529277551906,0.565760517080403,0.23924715376399835,0.32651336331640457,133.4193788561975,0.27737916602120066,49.02766411707393,0.71875,46.0,0.03836930455635491,16.0,0.9616306954436451,401.0,0.28125,18.0,0.7419354838709677,0.71875,0.7301587301587302,0.689615701337385,0.9626049160671463,0.8200386038302508,0.9293139293139293,0.24893323387028424,0.7510667661297158,0.07068607068607069,0.9284195214597863,0.9293139293139293,0.9288374814690605,0.6896157013373851,0.9626049160671463,0.9709672267432037,0.8447444368497001,0.9293139293139293,13.769,0.004,13.67,0.0,13670.0,0.0,1.1932229E7,1043348.0,161927.0,99.58419958419958,65.17671517671518,?,?
DatasetClassiRealeseNormalizedShuffled,1,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02604271137E7,4330.0,481.0,453.0,28.0,0.0,94.17879417879418,5.8212058212058215,0.0,0.7178176332551124,0.08439178815698405,0.20168099868315553,36.59077728567432,59.38161831006514,272.1308087156738,97.60464122603948,174.52616748963436,0.565760517080403,0.2029202520291881,0.36284026505121486,164.2084725176979,0.34138975575404973,60.34174274227997,0.65625,42.0,0.014388489208633094,6.0,0.9856115107913669,411.0,0.34375,22.0,0.875,0.65625,0.75,0.7273354939100073,0.9751573741007195,0.8512584567593148,0.9417879417879418,0.29992643099657484,0.7000735690034251,0.058212058212058215,0.9393200270798423,0.9417879417879418,0.9381778158248745,0.7273354939100072,0.9751573741007195,0.9766839093503056,0.8585294117647058,0.9417879417879418,13.913,0.005,13.81,0.0,13810.0,0.0,1.4438875E7,1043348.0,161927.0,99.37629937629937,63.92931392931393,?,?
DatasetClassiRealeseNormalizedShuffled,1,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02604271137E7,4330.0,481.0,459.0,22.0,0.0,95.42619542619542,4.573804573804574,0.0,0.787706134895478,0.0856403262877683,0.18892857612286829,37.13212119689961,55.626879420690095,272.1308087156738,84.67936969447952,187.4514390211943,0.565760517080403,0.17604858564340856,0.38971193143699434,157.94483787668,0.32836764631326404,58.04004280959714,0.75,48.0,0.014388489208633094,6.0,0.9856115107913669,411.0,0.25,16.0,0.8888888888888888,0.75,0.8135593220338982,0.7913993941881375,0.9840752398081535,0.8853897442897642,0.9542619542619543,0.21865044347058735,0.7813495565294126,0.04573804573804574,0.9527309691244117,0.9542619542619543,0.9525948614630435,0.7913993941881375,0.9840752398081535,0.982687660497753,0.8937464856614988,0.9542619542619543,13.827,0.004,13.7,0.01,13700.0,10.0,1.3367414E7,1043348.0,161927.0,100.0,65.07276507276508,?,?
DatasetClassiRealeseNormalizedShuffled,1,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02604271137E7,4330.0,481.0,456.0,25.0,0.0,94.8024948024948,5.197505197505198,0.0,0.757036348574546,0.09584951689296149,0.21402956423181044,41.55864453358647,63.017448214096106,272.1308087156738,108.17529863911683,163.955510076557,0.565760517080403,0.22489667076739467,0.3408638463130083,141.71258511463446,0.29462075907408414,52.07517141607359,0.71875,46.0,0.016786570743405275,7.0,0.9832134292565947,410.0,0.28125,18.0,0.8679245283018868,0.71875,0.7863247863247864,0.7613996662454237,0.9670451139088729,0.8400026781604955,0.9480249480249481,0.24606151876835328,0.7539384812316468,0.05197505197505198,0.9459662923778601,0.9480249480249481,0.9459199755057743,0.7613996662454237,0.9670451139088729,0.9741364548921363,0.8783694937541092,0.9480249480249481,13.939,0.004,13.83,0.01,13830.0,10.0,1.4329909E7,1043348.0,161927.0,99.37629937629937,64.65696465696466,?,?
DatasetClassiRealeseNormalizedShuffled,1,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02604271137E7,4330.0,481.0,456.0,25.0,0.0,94.8024948024948,5.197505197505198,0.0,0.7535204050259293,0.08872210793577649,0.20490574445604479,38.46832686794883,60.331091110591785,272.1308087156738,97.66744811371159,174.46336060196222,0.565760517080403,0.20305082767923407,0.3627096894011689,151.35708577466602,0.31467169599722666,55.619239324278816,0.703125,45.0,0.014388489208633094,6.0,0.9856115107913669,411.0,0.296875,19.0,0.8823529411764706,0.703125,0.7826086956521738,0.759786905975813,0.9741082134292566,0.8531075531131735,0.9480249480249481,0.2592884372335811,0.7407115627664189,0.05197505197505198,0.9460395152597614,0.9480249480249481,0.9454860917311511,0.759786905975813,0.9741082134292566,0.9769217313092283,0.876546378522663,0.9480249480249481,14.071,0.005,13.95,0.01,13950.0,10.0,1.2383625E7,1043348.0,161927.0,99.79209979209979,63.72141372141372,?,?
DatasetClassiRealeseNormalizedShuffled,1,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02604271138E7,4330.0,481.0,453.0,28.0,0.0,94.17879417879418,5.8212058212058215,0.0,0.7259259259259259,0.09152807654629695,0.2019554319168031,39.68494491504078,59.462420614885424,272.1308087156738,97.66858627239355,174.46222244328027,0.565760517080403,0.2030531939135001,0.36270732316690285,149.70115548759057,0.31122901348771426,55.01073406355855,0.6875,44.0,0.019184652278177457,8.0,0.9808153477218226,409.0,0.3125,20.0,0.8461538461538461,0.6875,0.7586206896551724,0.7309861211068108,0.9737335131894485,0.8842835425131129,0.9417879417879418,0.27347259406611923,0.7265274059338808,0.058212058212058215,0.9391128621897853,0.9417879417879418,0.9391898247364133,0.7309861211068108,0.9737335131894485,0.9809612413038655,0.8627618814706122,0.9417879417879418,14.252,0.005,14.13,0.0,14130.0,0.0,1.584168E7,1043348.0,161927.0,99.37629937629937,63.82536382536382,?,?
DatasetClassiRealeseNormalizedShuffled,1,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.MultiFilter -F \\\"weka.filters.supervised.attribute.AttributeSelection -E \\\\\\\"weka.attributeSelection.WrapperSubsetEval -B weka.classifiers.bayes.NaiveBayes -F 5 -T 0.01 -R 1 -E AUC --\\\\\\\" -S \\\\\\\"weka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1\\\\\\\"\\\" -S 1\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-4523450618538717400,2.02604271138E7,4330.0,481.0,465.0,16.0,0.0,96.67359667359668,3.3264033264033266,0.0,0.8518974674774844,0.0731229301361016,0.1611769653610572,31.70480101818519,47.45587883805068,272.1308087156738,67.08013102108956,205.05067769458427,0.565760517080403,0.13945973185257704,0.42630078522782594,184.1754106107408,0.38290106156079173,67.67900021315482,0.84375,54.0,0.014388489208633094,6.0,0.9856115107913669,411.0,0.15625,10.0,0.9,0.84375,0.870967741935484,0.8524820006053738,0.99126948441247,0.9494276824200241,0.9667359667359667,0.13737445594459982,0.8626255440554002,0.033264033264033266,0.9661018957931073,0.9667359667359667,0.9662788391712868,0.8524820006053738,0.99126948441247,0.9921050575574542,0.9259373315882671,0.9667359667359667,12.701,0.007,12.48,0.0,12480.0,0.0,2.7694521E7,1043348.0,161927.0,100.0,65.38461538461539,?,?
