Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
DatasetClassiRealeseNormalized,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4329.0,482.0,425.0,57.0,0.0,88.17427385892117,11.825726141078839,0.0,0.5691704563274266,0.12264394579780956,0.3353574396024122,53.21778716131976,98.82726320129076,272.3366817903761,855.4906304401006,-583.1539486497245,0.565013862635635,1.774876826639213,-1.2098629640035778,85.78573337038604,0.17797869993856025,31.499881986671678,0.78125,50.0,0.10287081339712918,43.0,0.8971291866028708,375.0,0.21875,14.0,0.5376344086021505,0.78125,0.6369426751592356,0.5833569385042018,0.889223235645933,0.6582028010390623,0.8817427385892116,0.20336355198634082,0.7966364480136592,0.11825726141078838,0.9073960588196095,0.8817427385892116,0.8905397668909082,0.5833569385042018,0.8892394441521572,0.9342380031673416,0.7831553524495063,0.8817427385892116,0.091,0.005,0.09,0.0,90.0,0.0,23416.0,924290.0,104879.0,90.04149377593362,52.80082987551867,?,0.0,0.0,0.0,0.0,-109210.99423033993,-109832.52369601789,-109861.6269064378,-109125.53479805827,-108894.53479805827
DatasetClassiRealeseNormalized,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,410.0,71.0,0.0,85.23908523908524,14.76091476091476,0.0,0.4810115040347707,0.14783820795914202,0.363629779444579,64.47904687144576,107.7796380245586,269.42867131105754,798.2224845005318,-528.7938131894742,0.5601427677984564,1.6595062047828104,-1.099363436984354,39.718693221133535,0.0825752457819824,14.741821287192552,0.7301587301587301,46.0,0.1291866028708134,54.0,0.8708133971291866,364.0,0.2698412698412698,17.0,0.46,0.7301587301587301,0.5644171779141104,0.499632013837065,0.9031290347079821,0.6584517538696604,0.8523908523908524,0.2514187251029356,0.7485812748970643,0.14760914760914762,0.8904970506545311,0.8523908523908524,0.8657263041501009,0.499632013837065,0.9032445348234822,0.9403424943495254,0.7377780507843393,0.8523908523908524,0.069,0.003,0.07,0.0,70.0,0.0,22652.0,924503.0,104666.0,89.81288981288981,54.88565488565489,?,0.0,0.0,0.0,0.0,-107265.51302887483,-107781.92198872476,-107821.47727949348,-107161.83836752037,-106954.83836752037
DatasetClassiRealeseNormalized,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,420.0,61.0,0.0,87.31808731808732,12.681912681912682,0.0,0.5675544223201523,0.1326368706577192,0.3442610807377765,57.508986361059215,101.36195392158453,272.1308087156738,781.0127298263585,-508.8819211106847,0.565760517080403,1.6237270890360884,-1.0579665719556854,69.23610939990597,0.1439420153844199,25.44221645710275,0.84375,54.0,0.1223021582733813,51.0,0.8776978417266187,366.0,0.15625,10.0,0.5142857142857142,0.84375,0.6390532544378698,0.5931634479661984,0.913556654676259,0.713410509851553,0.8731808731808732,0.15173303145425446,0.8482669685457455,0.12681912681912683,0.9123157176348666,0.8731808731808732,0.8852858320313942,0.5931634479661984,0.913556654676259,0.9465956677038797,0.7810650887573964,0.8731808731808732,0.019,0.001,0.02,0.0,20.0,0.0,22652.0,924503.0,104666.0,90.02079002079002,54.15800415800416,?,0.0,0.0,0.0,0.0,-104968.1608760345,-105501.97080094257,-105529.7728883739,-104870.1339764008,-104663.1339764008
DatasetClassiRealeseNormalized,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,404.0,77.0,0.0,83.99168399168398,16.008316008316008,0.0,0.43653679390242056,0.15035687334392325,0.37098314626922213,65.19206413381978,109.22982202123502,272.1308087156738,884.9889916353927,-612.858182919719,0.565760517080403,1.839893953503935,-1.2741334364235322,43.614445309088005,0.09067452247211644,16.027014917909206,0.671875,43.0,0.1342925659472422,56.0,0.8657074340527577,361.0,0.328125,21.0,0.43434343434343436,0.671875,0.5276073619631902,0.45159986671262836,0.880564298561151,0.6808646841982879,0.83991683991684,0.3023344058640821,0.6976655941359179,0.1600831600831601,0.8770767069196388,0.83991683991684,0.8535974803778884,0.45159986671262836,0.880564298561151,0.9353924627413455,0.7156184494421708,0.83991683991684,0.015,0.001,0.02,0.0,20.0,0.0,22965.0,924503.0,104666.0,88.98128898128898,53.53430353430353,?,0.0,0.0,0.0,0.0,-108072.58160207793,-108647.40351309729,-108668.32389351533,-107976.81836743723,-107759.81836743723
DatasetClassiRealeseNormalized,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,415.0,66.0,0.0,86.27858627858627,13.721413721413722,0.0,0.49250247785912976,0.14040394359098315,0.35511193836373606,60.8766509415748,104.55680861830221,272.1308087156738,788.8408979962171,-516.7100892805433,0.565760517080403,1.6400018669360024,-1.0742413498555994,60.17975122730396,0.12511382791539286,22.114273466985736,0.6875,44.0,0.11031175059952038,46.0,0.8896882494004796,371.0,0.3125,20.0,0.4888888888888889,0.6875,0.5714285714285714,0.502650202733089,0.9045263788968825,0.6137814001189597,0.8627858627858628,0.2855976133853832,0.7144023866146169,0.13721413721413722,0.8876485771626437,0.8627858627858628,0.872161221171122,0.502650202733089,0.9046400743230779,0.9342538476845494,0.7448727015558698,0.8627858627858628,0.015,0.001,0.02,0.0,20.0,0.0,22650.0,924503.0,104666.0,89.81288981288981,54.15800415800416,?,0.0,0.0,0.0,0.0,-106245.05122279741,-106757.2995395079,-106803.65402138313,-106144.01510941,-105937.01510941
DatasetClassiRealeseNormalized,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,407.0,74.0,0.0,84.61538461538461,15.384615384615385,0.0,0.4781091463593443,0.1496076034087152,0.36791779301187005,64.86719402590063,108.32727969795171,272.1308087156738,908.5385926924569,-636.4077839767831,0.565760517080403,1.888853623061241,-1.323093105980838,41.32324868293375,0.08591111992293919,15.185068121452163,0.75,48.0,0.13908872901678657,58.0,0.8609112709832134,359.0,0.25,16.0,0.4528301886792453,0.75,0.5647058823529413,0.5005731899968832,0.8857913669064749,0.6714012861692693,0.8461538461538461,0.23524257517063274,0.7647574248293673,0.15384615384615385,0.8902060957910015,0.8461538461538461,0.8610791169614699,0.5005731899968832,0.8857913669064749,0.9332266652919915,0.735635769459299,0.8461538461538461,0.013,0.001,0.01,0.0,10.0,0.0,23034.0,924503.0,104666.0,88.98128898128898,54.054054054054056,?,0.0,0.0,0.0,0.0,-110135.01626656862,-110698.42420267547,-110733.18186164013,-110035.30301274103,-109816.30301274103
DatasetClassiRealeseNormalized,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,399.0,82.0,0.0,82.95218295218295,17.04781704781705,0.0,0.3765096427442302,0.16585391147223574,0.3862950020279295,71.9113040400281,113.73814348046565,272.1308087156738,957.5982588904177,-685.4674501747438,0.565760517080403,1.9908487710819496,-1.4250882540015464,20.407482015088224,0.04242719753656595,7.499144294393456,0.578125,37.0,0.13189448441247004,55.0,0.86810551558753,362.0,0.421875,27.0,0.40217391304347827,0.578125,0.47435897435897434,0.38534396917062014,0.8396095623501199,0.5652914336836402,0.8295218295218295,0.38329131393429955,0.6167086860657004,0.1704781704781705,0.8602820908621736,0.8295218295218295,0.8418599932247574,0.38534396917062014,0.8396095623501199,0.9137294482215703,0.6863110008271298,0.8295218295218295,0.016,0.0,0.01,0.0,10.0,0.0,22837.0,924503.0,104666.0,87.94178794178794,54.46985446985447,?,0.0,0.0,0.0,0.0,-107555.81983516549,-108106.78325039061,-108138.80486569769,-107460.04598526155,-107247.04598526155
DatasetClassiRealeseNormalized,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,413.0,68.0,0.0,85.86278586278586,14.137214137214137,0.0,0.5204246209788569,0.14129305983261625,0.35521602805330244,61.26215591888557,104.5874560975204,272.1308087156738,841.7604613280528,-569.629652612379,0.565760517080403,1.7500217491227708,-1.184261232042368,54.687886844052095,0.11369623044501476,20.096176211048114,0.796875,51.0,0.13189448441247004,55.0,0.86810551558753,362.0,0.203125,13.0,0.4811320754716981,0.796875,0.6,0.5448768647494286,0.8937912170263789,0.6662640357557713,0.8586278586278586,0.19364734304032866,0.8063526569596713,0.14137214137214138,0.9009073863413487,0.8586278586278586,0.8723429723429723,0.5448768647494286,0.8937424904151523,0.93625867158453,0.757070707070707,0.8586278586278586,0.012,0.001,0.01,0.0,10.0,0.0,23028.0,924503.0,104666.0,89.81288981288981,54.054054054054056,?,0.0,0.0,0.0,0.0,-112168.01469815314,-112738.264251498,-112756.37760421353,-112058.49875531442,-111839.49875531442
DatasetClassiRealeseNormalized,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,413.0,68.0,0.0,85.86278586278586,14.137214137214137,0.0,0.5204246209788569,0.14299227763711905,0.357377493858706,61.99890651514922,105.22386378235328,272.1308087156738,780.8751225587696,-508.74431384309577,0.565760517080403,1.6234410032406852,-1.0576804861602822,50.665344691958495,0.10533335694793866,18.618011290626917,0.796875,51.0,0.13189448441247004,55.0,0.86810551558753,362.0,0.203125,13.0,0.4811320754716981,0.796875,0.6,0.5448768647494286,0.9214815647482014,0.7096106758341526,0.8586278586278586,0.19364734304032866,0.8063526569596713,0.14137214137214138,0.9009073863413487,0.8586278586278586,0.8723429723429723,0.5448768647494286,0.9214815647482014,0.9499012557516682,0.757070707070707,0.8586278586278586,0.013,0.0,0.01,0.0,10.0,0.0,23168.0,924503.0,104666.0,89.3970893970894,54.054054054054056,?,0.0,0.0,0.0,0.0,-111211.82076151206,-111799.31176833189,-111822.31810493006,-111111.69261038899,-110888.69261038899
DatasetClassiRealeseNormalized,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02604242036E7,4330.0,481.0,407.0,74.0,0.0,84.61538461538461,15.384615384615385,0.0,0.4373379702813785,0.1544295322254468,0.3731964555715961,66.95789653705248,109.88149416215975,272.1308087156738,1001.0835013624658,-728.952692646792,0.565760517080403,2.081254680587247,-1.5154941635068442,37.804974777693324,0.07859662115944559,13.892206823664905,0.640625,41.0,0.1223021582733813,51.0,0.8776978417266187,366.0,0.359375,23.0,0.44565217391304346,0.640625,0.5256410256410257,0.4475995571027952,0.829548860911271,0.5831782273345126,0.8461538461538461,0.32783100442722746,0.6721689955727725,0.15384615384615385,0.8749817300169372,0.8461538461538461,0.8572882865686835,0.44759955710279525,0.8295326187075288,0.9087960586283763,0.716914805624483,0.8461538461538461,0.012,0.001,0.02,0.0,20.0,0.0,23217.0,924503.0,104666.0,88.35758835758836,54.57380457380457,?,0.0,0.0,0.0,0.0,-109588.8124077604,-110183.75508124355,-110217.31438802842,-109500.31557066632,-109275.31557066632
