release,className,loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,buggy
3.0.1,RccConstants,0,0,4,1,0,1,1,0.25,88,88,22.0,90,no
3.0.1,RccTokenManager,0,0,4,1,0,2,2,0.5,833,833,208.25,837,no
3.0.1,SimpleCharStream,0,0,4,1,0,1,1,0.25,457,457,114.25,459,no
3.0.1,Token,0,0,4,1,0,1,1,0.25,99,99,24.75,101,no
3.0.1,TokenMgrError,0,0,4,1,0,1,1,0.25,151,151,37.75,153,no
3.0.1,AsyncCallback,0,0,8,4,0,293,255,36.625,281,253,35.125,305,no
3.0.1,ClientCnxn,0,0,90,15,0,2233,169,24.81111111111111,1468,233,16.31111111111111,3664,yes
3.0.1,ClientWatchManager,0,0,4,3,0,47,41,11.75,46,41,11.5,54,no
3.0.1,CreateMode,0,0,6,5,0,182,89,30.333333333333332,166,89,27.666666666666668,198,no
3.0.1,Environment,0,0,8,5,0,119,100,14.875,114,100,14.25,126,no
3.0.1,KeeperException,0,0,20,9,0,823,383,41.15,525,261,26.25,1121,yes
3.0.1,ServerAdminClient,0,0,8,4,0,347,264,43.375,90,48,11.25,676,no
3.0.1,Version,0,0,6,4,0,31,12,5.166666666666667,16,11,2.6666666666666665,46,yes
3.0.1,WatchedEvent,0,0,4,3,0,87,73,21.75,85,73,21.25,93,no
3.0.1,Watcher,0,0,14,6,0,186,71,13.285714285714286,141,43,10.071428571428571,235,no
3.0.1,ZooDefs,0,0,18,6,0,53,8,2.9444444444444446,41,6,2.2777777777777777,79,no
3.0.1,ZooKeeper,0,0,83,18,0,3144,302,37.87951807228916,2733,266,32.9277108433735,4445,yes
3.0.1,ZooKeeperMain,0,0,55,12,0,1350,414,24.545454545454547,1200,273,21.818181818181817,2036,yes
3.0.1,ByteBufferInputStream,0,0,5,3,0,22,10,4.4,12,10,2.4,32,no
3.0.1,DataNode,0,0,24,7,0,225,70,9.375,145,37,6.041666666666667,359,yes
3.0.1,DataTree,0,0,72,15,0,1950,327,27.083333333333332,1454,257,20.194444444444443,2936,yes
3.0.1,FinalRequestProcessor,0,0,52,15,0,540,54,10.384615384615385,341,49,6.5576923076923075,819,yes
3.0.1,LogFormatter,0,0,11,7,0,68,44,6.181818181818182,44,35,4.0,100,no
3.0.1,NIOServerCnxn,0,0,79,15,0,3454,850,43.721518987341774,2400,777,30.379746835443036,6954,yes
3.0.1,PrepRequestProcessor,0,0,87,21,0,1338,243,15.379310344827585,858,192,9.862068965517242,2108,yes
3.0.1,PurgeTxnLog,0,0,16,8,0,339,85,21.1875,161,56,10.0625,525,yes
3.0.1,Request,0,0,24,9,0,209,38,8.708333333333334,118,21,4.916666666666667,306,no
3.0.1,RequestProcessor,0,0,5,2,0,18,8,3.6,9,7,1.8,27,no
3.0.1,ServerCnxn,0,0,28,11,0,636,381,22.714285714285715,640,324,22.857142857142858,942,yes
3.0.1,ServerConfig,0,0,16,7,0,183,52,11.4375,68,14,4.25,306,yes
3.0.1,ServerStats,0,0,16,9,0,173,55,10.8125,108,16,6.75,282,yes
3.0.1,SessionTracker,0,0,11,7,0,104,50,9.454545454545455,86,47,7.818181818181818,124,yes
3.0.1,SessionTrackerImpl,0,0,32,10,0,370,59,11.5625,224,45,7.0,626,yes
3.0.1,SyncRequestProcessor,0,0,30,7,0,485,264,16.166666666666668,273,151,9.1,1015,yes
3.0.1,TraceFormatter,0,0,12,8,0,28,8,2.3333333333333335,16,4,1.3333333333333333,40,no
3.0.1,WatchManager,0,0,17,6,0,227,57,13.352941176470589,162,53,9.529411764705882,296,no
3.0.1,ZooKeeperServer,0,0,85,29,0,1481,182,17.423529411764704,1350,380,15.882352941176471,2616,yes
3.0.1,ZooKeeperServerMain,0,0,30,13,0,340,74,11.333333333333334,248,74,8.266666666666667,448,yes
3.0.1,ZooTrace,0,0,9,4,0,115,92,12.777777777777779,5,2,0.5555555555555556,229,no
3.0.1,AuthenticationProvider,0,0,4,2,0,12,8,3.0,3,2,0.75,21,no
3.0.1,DigestAuthenticationProvider,0,0,9,5,0,165,127,18.333333333333332,14,10,1.5555555555555556,316,no
3.0.1,HostAuthenticationProvider,0,0,5,2,0,16,8,3.2,73,69,14.6,97,no
3.0.1,IPAuthenticationProvider,0,0,6,3,0,35,16,5.833333333333333,19,15,3.1666666666666665,51,no
3.0.1,ProviderRegistry,0,0,14,8,0,114,70,8.142857142857142,34,12,2.4285714285714284,206,yes
3.0.1,FileSnap,0,0,15,8,0,351,134,23.4,266,134,17.733333333333334,452,yes
3.0.1,FileTxnLog,0,0,43,20,0,1231,480,28.627906976744185,900,480,20.930232558139537,1716,yes
3.0.1,FileTxnSnapLog,0,0,41,16,0,776,236,18.926829268292682,623,236,15.195121951219512,995,yes
3.0.1,SnapShot,0,0,5,4,0,73,59,14.6,68,59,13.6,78,yes
3.0.1,TxnLog,0,0,8,6,0,146,115,18.25,141,115,17.625,151,yes
3.0.1,Util,0,0,12,7,0,419,336,34.916666666666664,466,336,38.833333333333336,520,yes
3.0.1,AckRequestProcessor,0,0,6,4,0,24,9,4.0,11,8,1.8333333333333333,37,no
3.0.1,AuthFastLeaderElection,0,0,25,6,0,1329,908,53.16,132,67,5.28,2580,no
3.0.1,CommitProcessor,0,0,31,13,0,789,246,25.451612903225808,316,160,10.193548387096774,1298,yes
3.0.1,Election,0,0,6,3,0,23,18,3.8333333333333335,19,18,3.1666666666666665,27,no
3.0.1,FastLeaderElection,0,0,55,12,0,1882,284,34.21818181818182,711,106,12.927272727272728,3137,yes
3.0.1,Follower,0,0,39,11,0,816,369,20.923076923076923,401,268,10.282051282051283,1785,yes
3.0.1,FollowerHandler,0,0,21,4,0,571,391,27.19047619047619,93,19,4.428571428571429,1061,no
3.0.1,FollowerRequestProcessor,0,0,23,9,0,81,32,3.5217391304347827,54,26,2.347826086956522,112,no
3.0.1,FollowerSessionTracker,0,0,4,2,0,16,8,4.0,6,4,1.5,26,no
3.0.1,FollowerSyncRequest,0,0,2,2,0,34,18,17.0,34,18,17.0,34,no
3.0.1,FollowerZooKeeperServer,0,0,26,6,0,166,55,6.384615384615385,208,88,8.0,360,no
3.0.1,Leader,0,0,81,21,0,2085,338,25.74074074074074,1172,278,14.469135802469136,3272,yes
3.0.1,LeaderElection,0,0,23,6,0,295,109,12.826086956521738,414,293,18.0,768,no
3.0.1,LeaderZooKeeperServer,0,0,26,7,0,232,53,8.923076923076923,171,53,6.576923076923077,309,no
3.0.1,ProposalRequestProcessor,0,0,18,6,0,78,13,4.333333333333333,50,8,2.7777777777777777,136,no
3.0.1,QuorumCnxManager,0,0,64,17,0,1823,267,28.484375,961,234,15.015625,2967,yes
3.0.1,QuorumPeer,0,0,116,23,0,3420,573,29.482758620689655,1916,200,16.517241379310345,5326,yes
3.0.1,QuorumPeerConfig,0,0,64,14,0,1649,238,25.765625,731,100,11.421875,2681,yes
3.0.1,QuorumPeerMain,0,0,35,14,0,383,112,10.942857142857143,254,112,7.257142857142857,530,yes
3.0.1,QuorumStats,0,0,7,3,0,52,17,7.428571428571429,20,14,2.857142857142857,112,no
3.0.1,SendAckRequestProcessor,0,0,11,4,0,81,22,7.363636363636363,68,20,6.181818181818182,134,no
3.0.1,Vote,0,0,9,4,0,124,42,13.777777777777779,98,37,10.88888888888889,150,no
3.0.1,DataNodeV1,0,0,2,1,0,129,129,64.5,258,129,129.0,258,no
3.0.1,DataTreeV1,0,0,7,5,0,602,582,86.0,1168,582,166.85714285714286,1204,no
3.0.1,UpgradeMain,0,0,4,3,0,185,181,46.25,364,181,91.0,370,no
3.0.1,UpgradeSnapShot,0,0,3,2,0,34,33,11.333333333333334,66,33,22.0,68,no
3.0.1,UpgradeSnapShotV1,0,0,9,5,0,356,323,39.55555555555556,668,331,74.22222222222223,712,yes
3.0.1,Profiler,0,0,7,3,0,53,40,7.571428571428571,44,41,6.285714285714286,144,no
3.0.1,SerializeUtils,0,0,12,7,0,217,105,18.083333333333332,187,105,15.583333333333334,263,no
3.0.1,VerGen,0,0,13,7,0,162,49,12.461538461538462,82,31,6.3076923076923075,264,yes
