loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
5.918894,5.855072,1.791759,1.098612,0,7.329094,6.637258,5.722277,7.734121,6.638568,6.126432,7.73587,5.241747,5.081404,3.653252,4.290459,3.905155,1.098612,0,4.543295,2.302585,3.806662,no
3.555348,3.135494,1.098612,1.098612,0,2.772589,2.772589,2.140066,2.772589,2.639057,2.140066,2.995732,3.871201,3.465736,3.198673,5.117994,4.813467,0,1.098612,1.386294,1.098612,1.098612,no
3.850148,2.890372,1.098612,1.098612,0,4.26268,4.248495,3.583519,4.248495,4.248495,3.569533,4.276666,4.875197,4.574711,4.189655,4.727388,4.716359,0,0,1.94591,1.94591,1.386294,no
4.59512,2.890372,1.098612,1.098612,0,4.890349,4.882802,4.204693,4.882802,4.882802,4.197202,4.89784,4.875197,4.574711,4.189655,4.382027,4.373722,0.693147,0,3.135494,1.609438,2.564949,no
2.639057,3.73767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.609438,0.693147,0,no
1.94591,3.295837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612,0.693147,0,no
3.218876,3.135494,0.693147,0.693147,0,0,0,0,1.098612,1.098612,1.098612,1.098612,3.465736,3.465736,3.465736,1.94591,1.94591,0,0,1.386294,1.098612,0,no
5.713733,3.044522,1.386294,1.386294,0,5.948035,5.934894,4.854631,5.942799,5.934894,4.849423,5.963579,4.969813,4.574711,3.884994,4.85203,4.841016,1.098612,0,3.583519,1.94591,3.713572,no
2.397895,4.189655,0.693147,0.693147,0,1.098612,1.098612,1.098612,0.693147,0.693147,0.693147,1.386294,2.564949,2.564949,2.564949,3.367296,3.367296,0,0,2.302585,0.693147,0,no
3.258097,3.044522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386294,1.386294,0.693147,no
2.70805,2.890372,0.693147,0.693147,0,3.526361,3.526361,3.526361,3.526361,3.526361,3.526361,3.526361,3.555348,3.555348,3.555348,4.382027,4.382027,0,0,1.609438,1.609438,0,no
5.273,3.091042,0.693147,0.693147,0,2.70805,2.70805,2.70805,0,0,0,3.367296,3.465736,3.465736,3.465736,3.951244,3.951244,0.693147,0.693147,3.044522,1.609438,3.091042,no
4.290459,3.091042,1.609438,1.386294,0,1.94591,1.386294,0.916291,0.693147,0.693147,0.223144,2.639057,4.317488,3.465736,2.970414,4.875197,4.488636,0,0.693147,1.609438,1.386294,0.693147,no
3.828641,3.332205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94591,1.386294,1.098612,no
4.812184,3.951244,0.693147,0.693147,0,5.32301,5.32301,5.32301,5.32301,5.32301,5.32301,5.32301,3.951244,3.951244,3.951244,4.043051,4.043051,0,0,2.564949,1.791759,2.397895,no
5.187386,4.990433,0.693147,0.693147,0,5.886104,5.886104,5.886104,5.886104,5.886104,5.886104,5.886104,4.744932,4.744932,4.744932,2.564949,2.564949,0,0,4.060443,1.791759,2.833213,no
2.639057,3.951244,1.098612,1.098612,0,4.356709,4.174387,3.676301,4.356709,4.174387,3.676301,4.356709,4.418841,4.204693,3.73767,5.010635,4.940714,0,0,1.609438,0.693147,0,no
5.805135,3.367296,1.609438,1.098612,1.098612,6.336826,5.929589,4.955827,6.102559,5.929589,4.722953,6.526495,3.332205,2.564949,2.047693,5.129899,4.956405,0,2.302585,3.496508,1.609438,3.970292,no
5.42495,3.73767,0.693147,0.693147,0,5.666427,5.666427,5.666427,5.666427,5.666427,5.666427,5.666427,3.218876,3.218876,3.218876,4.890349,4.890349,0,0.693147,3.555348,1.94591,2.995732,no
4.204693,3.401197,1.94591,1.386294,0,2.397895,1.609438,0.980829,2.079442,1.098612,0.77319,2.890372,4.574711,3.555348,2.833213,4.564348,4.379818,0.693147,0,2.639057,1.791759,1.94591,no
3.332205,3.091042,1.386294,1.098612,1.098612,4.174387,3.89182,3.10608,4.143135,3.89182,3.075775,4.204693,2.833213,2.564949,1.845827,4.89784,4.790517,0,0,1.386294,1.386294,0.693147,no
4.007333,3.258097,1.098612,1.098612,0,4.59512,4.553877,3.912023,4.564348,4.553877,3.881564,4.624973,4.875197,4.574711,4.189655,4.406719,4.368821,0,0,2.302585,1.609438,2.079442,no
4.356709,4.248495,1.098612,1.098612,0,5.123964,5.099866,4.436752,5.123964,5.099866,4.436752,5.123964,4.094345,3.951244,3.417727,3.73767,3.723888,0,0,1.791759,1.386294,2.397895,no
4.682131,4.060443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833213,1.609438,2.639057,no
2.70805,3.828641,1.098612,1.098612,0,2.079442,1.94591,1.504077,1.94591,1.94591,1.386294,2.197225,4.644391,4.574711,3.960813,4.543295,4.382027,0,0,1.609438,0.693147,0,no
5.505332,3.951244,0.693147,0.693147,0,5.840642,5.840642,5.840642,5.840642,5.840642,5.840642,5.840642,3.367296,3.367296,3.367296,3.135494,3.135494,0,0,3.295837,1.94591,2.833213,no
4.356709,3.78419,0.693147,0.693147,0.693147,3.988984,3.988984,3.988984,3.663562,3.663562,3.663562,4.234107,1.386294,1.386294,1.386294,0.693147,0.693147,0,0,2.397895,1.609438,2.70805,no
