loc,commentLines,nRevisions,nFix,avgChangeSet,cyclomaticComplexity,buggy
4.382027,3.555348,0.693147,0,2.079442,0,no
1.94591,3.091042,0,0,0,0,no
5.308268,4.882802,0.693147,0,4.744932,1.791759,no
5.4161,4.488636,2.197225,0.693147,3.223863,0.693147,no
1.791759,3.295837,0,0,0,0,no
4.875197,5.273,2.564949,0,3.323236,0,no
2.484907,2.890372,0.693147,0,3.555348,0,no
4.70048,3.135494,1.94591,0,3.289645,0.693147,no
6.694562,2.944439,0,0,0,2.70805,no
3.988984,3.465736,1.098612,0,3.496508,0,no
1.791759,3.465736,0,0,0,0,no
4.290459,4.189655,0.693147,0,2.079442,0.693147,no
4.70953,4.465908,0.693147,0,2.079442,1.098612,no
6.326149,3.7612,1.098612,0,2.890372,0.693147,no
4.043051,3.850148,1.791759,0.693147,3.453157,0,no
3.496508,3.044522,0.693147,0,3.044522,0,no
2.197225,2.890372,0.693147,0,3.555348,0,no
2.564949,2.890372,0.693147,0,3.555348,0,no
3.663562,3.637586,0,0,0,0,no
4.248495,3.401197,2.302585,0,3.135494,0.693147,no
4.644391,3.663562,2.70805,0.693147,3.216015,0,no
3.828641,2.890372,0,0,0,0,no
4.543295,3.135494,1.386294,0,3.283414,0,no
5.049856,3.871201,0,0,0,0,no
6.066108,4.65396,1.098612,0,2.970414,1.098612,no
4.70048,4.110874,1.386294,0,3.592736,0.693147,no
1.94591,3.044522,0,0,0,0,no
5.081404,3.091042,1.386294,0,3.423176,0,no
5.420535,4.488636,1.386294,0.693147,2.685577,0.693147,no
3.7612,3.178054,0.693147,0,2.564949,0,no
1.791759,3.496508,0.693147,0,3.218876,0,no
2.397895,3.044522,1.098612,0,4.668145,0,no
3.73767,3.367296,0,0,0,0,no
3.583519,3.044522,0.693147,0,2.564949,0,no
2.772589,3.044522,0,0,0,0,no
1.94591,3.295837,0,0,0,0,no
4.882802,3.828641,0.693147,0,3.218876,0,no
4.663439,2.772589,0.693147,0,3.367296,0,no
3.433987,3.433987,0,0,0,0,no
4.442651,3.970292,1.098612,0,2.674149,0,no
4.584967,3.332205,1.098612,0.693147,2.014903,0,no
2.079442,3.401197,0,0,0,0,no
5.545177,2.890372,1.098612,0,4.18205,0,no
6.113682,3.218876,0.693147,0,3.465736,1.791759,no
2.70805,3.258097,0,0,0,0,no
2.944439,3.091042,0,0,0,0,no
5.062595,4.691348,1.94591,1.098612,3.184974,0,no
1.791759,3.401197,0,0,0,0,no
6.645091,5.407172,1.791759,0.693147,3.161247,2.197225,no
3.970292,2.890372,1.098612,0,4.189655,0,no
2.079442,3.401197,0,0,0,0,no
3.178054,4.369448,1.609438,0,3.113515,0,no
5.278115,3.091042,0.693147,0,3.465736,0,no
4.804021,3.044522,2.197225,1.609438,3.167583,0,no
1.791759,3.465736,0.693147,0,3.465736,0,no
4.59512,4.343805,0.693147,0,1.791759,0,no
3.135494,3.044522,0,0,0,0,no
3.850148,3.178054,0.693147,0,2.564949,0,no
4.025352,4.110874,0.693147,0,1.386294,0,no
3.258097,3.044522,1.098612,0,2.890372,0,no
1.94591,3.401197,0,0,0,0,no
3.988984,3.465736,1.098612,0,3.496508,0,no
5.823046,5.298317,2.079442,0,2.618438,1.386294,no
2.397895,3.044522,0.693147,0,4.744932,0,no
4.025352,2.890372,0.693147,0,3.555348,0,no
4.779123,3.218876,1.386294,0,2.772589,0.693147,no
3.806662,2.890372,1.098612,0,3.725693,0,no
2.70805,3.828641,1.098612,0,3.960813,0,no
2.772589,4.043051,0,0,0,0,no
4.290459,3.433987,1.098612,0,3.496508,0,no
5.624018,3.465736,0.693147,0,3.218876,0,no
2.833213,3.091042,0.693147,0,2.772589,0,no
2.639057,3.091042,0.693147,0,2.564949,0,no
3.367296,4.564348,0.693147,0,3.218876,0,no
3.89182,3.526361,0,0,0,0,no
4.663439,4.110874,1.791759,0,2.821379,0,no
5.869297,4.672829,1.94591,0.693147,2.890372,1.098612,no
2.944439,4.007333,1.098612,0,2.70805,0,no
5.505332,4.51086,0.693147,0,3.218876,1.098612,no
2.079442,3.401197,0,0,0,0,no
4.955827,4.532599,2.079442,1.098612,3.129264,0,no
5.129899,3.526361,2.079442,0,3.667218,1.098612,no
4.219508,2.890372,1.386294,0.693147,3.64632,0,no
4.356709,3.332205,0.693147,0,3.951244,0,no
4.787492,3.218876,1.098612,0,3.238678,0,no
5.488938,3.73767,1.098612,0,4.189655,0.693147,no
4.736198,3.7612,3.258097,2.302585,2.876949,0,no
5.204007,3.091042,2.302585,0,1.863218,1.098612,no
5.556828,5.105945,1.098612,0,3.277145,1.098612,no
3.78419,3.044522,1.386294,0,3.680511,0,no
1.94591,3.912023,1.098612,0,3.401197,0,no
4.219508,2.890372,1.098612,0,4.189655,0.693147,no
4.934474,4.204693,1.386294,0,3.705409,0,no
4.430817,3.988984,1.386294,0,3.295837,0,no
4.812184,3.465736,1.94591,0.693147,3.083438,0,no
3.73767,3.091042,0.693147,0,4.744932,0,no
3.583519,3.044522,0.693147,0,2.564949,0,no
